"ID","Nền tảng","Thiết bị nhập","Gesture/thao tác","Pha/thời điểm","Đang chọn nội dung","Đang stream","Hành vi hiện đã implement","Hành vi mong muốn","Ghi chú/rủi ro"
"G001","Desktop/Web","Mouse","Mouse drag để bắt đầu chọn text","Bắt đầu gesture","FALSE","FALSE","Mouse primary down được track; SelectionArea bắt đầu native selection, cache range chỉ được tạo khi onSelectionChanged trả SelectedContent non-empty.","","Baseline chọn mới"
"G002","Desktop/Web","Mouse","Mouse drag để bắt đầu chọn text","Bắt đầu gesture","TRUE","FALSE","Mouse primary down được track; SelectionArea cho chọn lại/thay selection. Nếu selection cũ đang locked thì cache cũ bị clear khi có selection mới.","","Có selection cũ trước đó"
"G003","Desktop/Web","Mouse","Mouse drag để bắt đầu chọn text","Bắt đầu gesture","FALSE","TRUE","Cho phép bắt đầu chọn trên nội dung đang render; khi SelectedContent non-empty xuất hiện sẽ map plain text sang plain range và source range của snapshot markdown hiện tại.","","Markdown đang append/reflow"
"G004","Desktop/Web","Mouse","Mouse drag để bắt đầu chọn text","Bắt đầu gesture","TRUE","TRUE","Mouse primary down được track; nếu selection cũ đang locked thì drag mới sẽ thay selection cũ khi framework phát selection mới. Nếu viewport đổi trong lúc còn giữ chuột, freeze bị hoãn tới mouse up.","","Case dễ trôi selection nhất"
"G005","Desktop/Web","Mouse","Mouse drag tiếp tục chọn text","Đang kéo","FALSE","FALSE","Flutter SelectionArea xử lý drag native; code chỉ nhận kết quả qua onSelectionChanged.","","Pointer di chuyển qua nhiều inline/span"
"G006","Desktop/Web","Mouse","Mouse drag tiếp tục chọn text","Đang kéo","TRUE","FALSE","Flutter SelectionArea cập nhật extent; onSelectionChanged remap selected plain text sang range gần preferredStart hiện tại.","","Đổi extent của selection hiện tại"
"G007","Desktop/Web","Mouse","Mouse drag tiếp tục chọn text","Đang kéo","FALSE","TRUE","Flutter SelectionArea vẫn xử lý drag; mỗi SelectedContent non-empty được map lại trên projection hiện tại.","","Stream thay đổi layout trong lúc kéo"
"G008","Desktop/Web","Mouse","Mouse drag tiếp tục chọn text","Đang kéo","TRUE","TRUE","Trong lúc kéo, Flutter SelectionArea cập nhật native selection; nếu scroll/reflow xảy ra thì freeze được defer vì mouse pointer còn active, tránh cắt ngang thao tác kéo.","","Kéo selection trong lúc stream"
"G009","Desktop/Web","Mouse","Mouse up kết thúc chọn text","Kết thúc gesture","FALSE","FALSE","Hoàn tất gesture SelectionArea; nếu không có SelectedContent thì không có payload copy.","","Commit selection range"
"G010","Desktop/Web","Mouse","Mouse up kết thúc chọn text","Kết thúc gesture","TRUE","FALSE","Hoàn tất native selection; cache giữ _selectionRange, _sourceSelectionRange và plain text cuối để phục vụ copy.","","Selection cũ bị thay thế hoặc mở rộng"
"G011","Desktop/Web","Mouse","Mouse up kết thúc chọn text","Kết thúc gesture","FALSE","TRUE","Nếu selection vừa được tạo trong lúc stream, mouse up giữ range/source range đã map từ projection hiện tại.","","Stream có thể append đúng lúc release"
"G012","Desktop/Web","Mouse","Mouse up kết thúc chọn text","Kết thúc gesture","TRUE","TRUE","Kết thúc pointer; nếu trước đó có viewport mutation bị defer thì selection được lock, native visual bị clear sau frame, fallback highlight theo source range được bật.","","Cần quyết định range cuối cùng"
"G013","Desktop/Web","Mouse","Double click chọn word","Discrete gesture","FALSE","FALSE","Không custom double-click; Flutter SelectionArea chọn word và onSelectionChanged cache range/source range.","","Word boundary"
"G014","Desktop/Web","Mouse","Double click chọn word","Discrete gesture","TRUE","FALSE","Flutter xử lý word boundary; onSelectionChanged thay cache bằng selected word mới.","","Thay selection hiện tại"
"G015","Desktop/Web","Mouse","Double click chọn word","Discrete gesture","FALSE","TRUE","Flutter xử lý word boundary trên layout hiện tại; code map selected word sang source range trong projection hiện tại.","","Word boundary khi markdown reflow"
"G016","Desktop/Web","Mouse","Double click chọn word","Discrete gesture","TRUE","TRUE","Dựa vào Flutter SelectionArea cho double click word; nếu selection cũ locked, selection mới có thể clear cache cũ khi framework báo changing/non-empty.","","Có selection lock trước đó"
"G017","Desktop/Web","Mouse","Triple click chọn dòng/paragraph","Discrete gesture","FALSE","FALSE","Không custom triple-click; phụ thuộc hành vi SelectionArea của Flutter.","","Block boundary"
"G018","Desktop/Web","Mouse","Triple click chọn dòng/paragraph","Discrete gesture","TRUE","FALSE","Flutter xử lý triple-click; selection hiện tại bị thay bằng range mới khi onSelectionChanged có nội dung.","","Thay selection hiện tại"
"G019","Desktop/Web","Mouse","Triple click chọn dòng/paragraph","Discrete gesture","FALSE","TRUE","Flutter xử lý trên layout hiện tại; code chỉ map SelectedContent sang markdown projection đang có.","","Block boundary khi stream"
"G020","Desktop/Web","Mouse","Triple click chọn dòng/paragraph","Discrete gesture","TRUE","TRUE","Không custom triple-click; Flutter quyết định line/paragraph boundary, sau đó cache được remap theo projection hiện tại hoặc thay selection locked.","","Có selection lock trước đó"
"G021","Desktop/Web","Mouse","Click ngoài vùng selection","Discrete gesture","FALSE","FALSE","No-op ở tầng markdown selection; Flutter/focus xử lý mặc định.","","Có nên no-op không"
"G022","Desktop/Web","Mouse","Click ngoài vùng selection","Discrete gesture","TRUE","FALSE","Không có handler riêng. Empty selection chỉ clear cache khi focus mất; nếu vẫn focus thì cache range có thể còn để copy.","","Clear selection hoặc đặt caret ảo"
"G023","Desktop/Web","Mouse","Click ngoài vùng selection","Discrete gesture","FALSE","TRUE","Không có selection cache để xử lý; click đi theo Flutter/focus mặc định.","","Stream không liên quan selection"
"G024","Desktop/Web","Mouse","Click ngoài vùng selection","Discrete gesture","TRUE","TRUE","Không có handler riêng. Nếu framework gửi empty selection trong lúc focus vẫn còn thì cache hiện tại thường được giữ; nếu focus mất và selection không locked thì cache bị clear. Selection locked thì tiếp tục giữ source range.","","Clear lock hay giữ lock"
"G025","Desktop/Web","Mouse","Right click/context menu trên selection","Discrete gesture","FALSE","FALSE","Toolbar/context menu phụ thuộc Flutter; không có selection thì markdown copy không tạo payload.","","Mở menu mặc định"
"G026","Desktop/Web","Mouse","Right click/context menu trên selection","Discrete gesture","TRUE","FALSE","Toolbar mặc định vẫn dùng, riêng nút Copy gọi markdown-aware copy theo selectionStrategy.","","Copy menu, giữ selection"
"G027","Desktop/Web","Mouse","Right click/context menu trên selection","Discrete gesture","FALSE","TRUE","Nếu không có payload selection thì copy no-op; menu phụ thuộc Flutter.","","Stream khi mở menu"
"G028","Desktop/Web","Mouse","Right click/context menu trên selection","Discrete gesture","TRUE","TRUE","Context menu là toolbar của SelectionArea; nút Copy bị override để copy từ cached range/source range theo selectionStrategy, kể cả khi stream đang append.","","Menu không được làm lệch range"
"G029","Desktop/Web","Wheel/Trackpad","Scroll nội dung bằng wheel/trackpad","Đang scroll","FALSE","FALSE","Scroll mặc định của ScrollView; không có selection logic.","","Baseline scroll"
"G030","Desktop/Web","Wheel/Trackpad","Scroll nội dung bằng wheel/trackpad","Đang scroll","TRUE","FALSE","Khi scroll offset đổi và có source range, selection được lock để tránh native selection bám theo viewport; copy vẫn dùng cached source/plain range.","","Selection có thể ra khỏi viewport"
"G031","Desktop/Web","Wheel/Trackpad","Scroll nội dung bằng wheel/trackpad","Đang scroll","FALSE","TRUE","Không có source range nên selection layer không làm gì; stream và scroll chạy theo ScrollView/renderer mặc định.","","Streaming + scroll"
"G032","Desktop/Web","Wheel/Trackpad","Scroll nội dung bằng wheel/trackpad","Đang scroll","TRUE","TRUE","Khi scroll offset đổi và có source range, selection được lock: native SelectableRegion visual bị clear, fallback highlight theo source/plain range được bật nếu vùng đó còn render, copy vẫn dùng absolute source range trên projection hiện tại.","","Range tuyệt đối phải giữ nguyên"
"G033","Desktop/Web","Mouse","Drag scrollbar thumb","Đang scroll","FALSE","FALSE","Scroll mặc định của ScrollView; không có selection logic.","","Jump viewport nhanh"
"G034","Desktop/Web","Mouse","Drag scrollbar thumb","Đang scroll","TRUE","FALSE","Khi scroll offset đổi và có source range, selection được lock để tránh native selection bám theo viewport; copy vẫn dùng cached source/plain range.","","Selection có thể offscreen"
"G035","Desktop/Web","Mouse","Drag scrollbar thumb","Đang scroll","FALSE","TRUE","Không có source range nên selection layer không làm gì; stream và scroll chạy theo ScrollView/renderer mặc định.","","Scroll offset đổi khi stream"
"G036","Desktop/Web","Mouse","Drag scrollbar thumb","Đang scroll","TRUE","TRUE","Khi scroll offset đổi và có source range, selection được lock: native SelectableRegion visual bị clear, fallback highlight theo source/plain range được bật nếu vùng đó còn render, copy vẫn dùng absolute source range trên projection hiện tại.","","Không remap theo vùng đang thấy"
"G037","Desktop/Web","Mouse","Autoscroll khi kéo selection tới cạnh viewport","Đang kéo","FALSE","FALSE","Không có custom autoscroll trong widget.","","Selection vượt viewport"
"G038","Desktop/Web","Mouse","Autoscroll khi kéo selection tới cạnh viewport","Đang kéo","TRUE","FALSE","Không tự implement autoscroll; nếu scroll xảy ra khi mouse pointer active thì freeze bị defer để thao tác kéo không bị cắt.","","Mở rộng selection qua viewport"
"G039","Desktop/Web","Mouse","Autoscroll khi kéo selection tới cạnh viewport","Đang kéo","FALSE","TRUE","Không có selection range thì không lock; autoscroll nếu có là hành vi Flutter/Scrollable.","","Stream + auto scroll"
"G040","Desktop/Web","Mouse","Autoscroll khi kéo selection tới cạnh viewport","Đang kéo","TRUE","TRUE","Không tự implement autoscroll; Flutter/Scrollable xử lý. Với mouse drag, scroll mutation trong lúc pointer active chỉ đặt cờ defer và freeze sau mouse up.","","Dễ nhảy giữa block"
"G041","Desktop/Web","Keyboard","Ctrl/Cmd+C copy","Discrete command","FALSE","FALSE","Không có selection payload thì copy no-op.","","Copy rỗng hoặc fallback"
"G042","Desktop/Web","Keyboard","Ctrl/Cmd+C copy","Discrete command","TRUE","FALSE","Copy bị intercept để dùng MarkdownClipboardHandler; selectionStrategy quyết định plain/raw/rich HTML fallback.","","Copy selection hiện tại"
"G043","Desktop/Web","Keyboard","Ctrl/Cmd+C copy","Discrete command","FALSE","TRUE","Không có selection payload thì copy no-op.","","Không có selection"
"G044","Desktop/Web","Keyboard","Ctrl/Cmd+C copy","Discrete command","TRUE","TRUE","CopySelectionTextIntent và web copy interceptor lấy payload từ cached range/source range; raw/rich dùng markdown hiện tại theo source range, plain dùng plain payload đã có.","","Copy từ markdown hiện tại theo absolute range"
"G045","Desktop/Web","Keyboard","Ctrl/Cmd+A select all","Discrete command","FALSE","FALSE","Dựa vào Flutter SelectionArea selectAll; onSelectionChanged tạo cache nếu có SelectedContent.","","Chọn toàn bộ markdown"
"G046","Desktop/Web","Keyboard","Ctrl/Cmd+A select all","Discrete command","TRUE","FALSE","Flutter selectAll thay selection hiện tại bằng toàn bộ selectable content hiện có; onSelectionChanged cache range/source range mới.","","Mở rộng thành all"
"G047","Desktop/Web","Keyboard","Ctrl/Cmd+A select all","Discrete command","FALSE","TRUE","Flutter selectAll chọn snapshot hiện đang render; sau append không có logic tự extend all-range.","","All có tính cả phần đang stream không"
"G048","Desktop/Web","Keyboard","Ctrl/Cmd+A select all","Discrete command","TRUE","TRUE","Không custom select-all; Flutter SelectionArea chọn toàn bộ nội dung hiện có tại thời điểm lệnh. Range đã cache không tự mở rộng theo phần append sau đó trừ khi framework phát selection mới.","","All range update theo append hay snapshot"
"G049","Desktop/Web","Keyboard","Shift+Arrow mở rộng selection","Discrete/Repeat command","FALSE","FALSE","Không custom keyboard extend khi chưa có selection/caret.","","Nếu không có caret thì xử lý thế nào"
"G050","Desktop/Web","Keyboard","Shift+Arrow mở rộng selection","Discrete/Repeat command","TRUE","FALSE","Dựa vào Flutter keyboard selection; onSelectionChanged cập nhật cached range/source range.","","Extend range theo text order"
"G051","Desktop/Web","Keyboard","Shift+Arrow mở rộng selection","Discrete/Repeat command","FALSE","TRUE","Không có caret/range model riêng cho phím; phụ thuộc Flutter SelectableRegion.","","Caret/anchor chưa rõ khi stream"
"G052","Desktop/Web","Keyboard","Shift+Arrow mở rộng selection","Discrete/Repeat command","TRUE","TRUE","Không có key handler riêng cho Shift+Arrow; nếu Flutter phát onSelectionChanged thì code remap/cache range. Khi viewport mutation xảy ra, lock có thể clear native visual.","","Extent không được bám vào visual node sai"
"G053","Desktop/Web","Keyboard","Escape clear selection","Discrete command","FALSE","FALSE","Không custom Escape.","","No-op"
"G054","Desktop/Web","Keyboard","Escape clear selection","Discrete command","TRUE","FALSE","Không custom Escape; cache chỉ clear chắc chắn khi focus mất hoặc code gọi clear cache.","","Clear selection"
"G055","Desktop/Web","Keyboard","Escape clear selection","Discrete command","FALSE","TRUE","Không selection cache; Escape phụ thuộc Flutter/focus mặc định.","","No-op trong lúc stream"
"G056","Desktop/Web","Keyboard","Escape clear selection","Discrete command","TRUE","TRUE","Không custom Escape. Nếu Flutter clear bằng empty selection nhưng focus vẫn còn, cache có thể được giữ; locked source range chắc chắn được giữ tới khi clear cache theo đường khác.","","Clear lock/range"
"G057","Desktop/Web","Keyboard","Tab/focus out khỏi markdown","Focus change","FALSE","FALSE","Focus traversal mặc định.","","Focus traversal"
"G058","Desktop/Web","Keyboard","Tab/focus out khỏi markdown","Focus change","TRUE","FALSE","Khi mất focus, cache bị clear trừ trường hợp selection đang locked với source range.","","Giữ selection hay clear"
"G059","Desktop/Web","Keyboard","Tab/focus out khỏi markdown","Focus change","FALSE","TRUE","Không có selection cache; focus change không ảnh hưởng streaming.","","Focus đổi khi stream"
"G060","Desktop/Web","Keyboard","Tab/focus out khỏi markdown","Focus change","TRUE","TRUE","Focus listener clear cache nếu selection không locked; nếu selection đã locked và có source range thì giữ cache/range để copy tiếp.","","Selection off-focus khi stream"
"G061","Mobile","Touch","Long press bắt đầu selection","Bắt đầu gesture","FALSE","FALSE","Không custom long-press; SelectionArea xử lý và onSelectionChanged cache khi có nội dung.","","Hiện handle/toolbar"
"G062","Mobile","Touch","Long press bắt đầu selection","Bắt đầu gesture","TRUE","FALSE","Dựa vào Flutter long-press; nếu có SelectedContent mới thì cache cũ được thay.","","Đổi anchor hoặc giữ selection"
"G063","Mobile","Touch","Long press bắt đầu selection","Bắt đầu gesture","FALSE","TRUE","Flutter tạo selection trên layout hiện tại; code map SelectedContent sang projection hiện tại.","","Stream reflow khi long press"
"G064","Mobile","Touch","Long press bắt đầu selection","Bắt đầu gesture","TRUE","TRUE","Dựa vào Flutter touch selection. Không có pointer-active tracking cho touch; selection mới có thể thay cache cũ qua status changing/onSelectionChanged, còn scroll/reflow có thể lock ngay.","","Long press khi đã có lock"
"G065","Mobile","Touch","Drag selection handle","Đang kéo","FALSE","FALSE","Không có handle nếu chưa có selection.","","Handle không tồn tại nếu chưa chọn"
"G066","Mobile","Touch","Drag selection handle","Đang kéo","TRUE","FALSE","Flutter handle drag cập nhật selection; onSelectionChanged remap range/source range.","","Mở rộng/thu selection"
"G067","Mobile","Touch","Drag selection handle","Đang kéo","FALSE","TRUE","Nếu chưa có selection thì handle thường không tồn tại; không có logic riêng.","","Handle xuất hiện khi stream"
"G068","Mobile","Touch","Drag selection handle","Đang kéo","TRUE","TRUE","Dựa vào Flutter handle drag. Vì touch pointer không được track như mouse, viewport mutation trong lúc kéo có thể lock ngay; khi framework phát selection mới thì cache được remap.","","Handle không được kéo range sang block khác do reflow"
"G069","Mobile","Touch","Touch scroll nội dung","Đang scroll","FALSE","FALSE","Scroll mặc định của ScrollView; không có selection logic.","","Baseline scroll"
"G070","Mobile","Touch","Touch scroll nội dung","Đang scroll","TRUE","FALSE","Khi scroll offset đổi và có source range, selection được lock để tránh native selection bám theo viewport; copy vẫn dùng cached source/plain range.","","Selection/toolbar offscreen"
"G071","Mobile","Touch","Touch scroll nội dung","Đang scroll","FALSE","TRUE","Không có source range nên selection layer không làm gì; stream và scroll chạy theo ScrollView/renderer mặc định.","","Stream + touch scroll"
"G072","Mobile","Touch","Touch scroll nội dung","Đang scroll","TRUE","TRUE","Khi scroll offset đổi và có source range, selection được lock: native SelectableRegion visual bị clear, fallback highlight theo source/plain range được bật nếu vùng đó còn render, copy vẫn dùng absolute source range trên projection hiện tại.","","Absolute range phải giữ nguyên"
"G073","Mobile","Touch","Tap ngoài selection","Discrete gesture","FALSE","FALSE","No-op ở tầng markdown selection.","","No-op hoặc focus"
"G074","Mobile","Touch","Tap ngoài selection","Discrete gesture","TRUE","FALSE","Không custom tap outside; cache clear chắc chắn khi focus mất, còn empty selection trong focus có thể giữ cache.","","Clear selection hoặc đặt lại"
"G075","Mobile","Touch","Tap ngoài selection","Discrete gesture","FALSE","TRUE","Không selection cache; tap xử lý mặc định.","","No-op khi stream"
"G076","Mobile","Touch","Tap ngoài selection","Discrete gesture","TRUE","TRUE","Giống click ngoài: không custom. Empty selection khi focus còn có thể giữ cache; locked selection giữ source range.","","Clear lock hay giữ lock"
"G077","Mobile","Touch Toolbar","Toolbar Copy","Discrete command","FALSE","FALSE","Không có selection payload để copy.","","Toolbar có thể không hiện"
"G078","Mobile","Touch Toolbar","Toolbar Copy","Discrete command","TRUE","FALSE","Toolbar Copy gọi markdown-aware copy thay vì copy plain mặc định.","","Copy selection"
"G079","Mobile","Touch Toolbar","Toolbar Copy","Discrete command","FALSE","TRUE","Không có selection payload thì copy no-op/toolbar thường không có nút copy hữu ích.","","Toolbar có thể không hiện"
"G080","Mobile","Touch Toolbar","Toolbar Copy","Discrete command","TRUE","TRUE","Copy button trong AdaptiveTextSelectionToolbar bị override; copy dùng cached source/plain range và selectionStrategy, không phụ thuộc vùng selection còn visible.","","Copy từ markdown hiện tại theo absolute range"
"G081","Mobile","Touch Toolbar","Toolbar Select All","Discrete command","FALSE","FALSE","Flutter toolbar xử lý nếu toolbar tồn tại; code không custom.","","Chọn toàn bộ"
"G082","Mobile","Touch Toolbar","Toolbar Select All","Discrete command","TRUE","FALSE","Select All của toolbar do Flutter xử lý; onSelectionChanged cache toàn bộ nội dung hiện có.","","Mở rộng thành all"
"G083","Mobile","Touch Toolbar","Toolbar Select All","Discrete command","FALSE","TRUE","Flutter chọn toàn bộ nội dung đang render tại thời điểm bấm.","","All trong stream"
"G084","Mobile","Touch Toolbar","Toolbar Select All","Discrete command","TRUE","TRUE","Không override Select All; Flutter chọn toàn bộ snapshot hiện tại. Append sau đó không tự mở rộng cached source range.","","All range update theo append hay snapshot"
"G085","Tablet","Stylus","Stylus drag chọn text","Đang kéo","FALSE","FALSE","Không custom stylus drag.","","Tương tự mouse drag"
"G086","Tablet","Stylus","Stylus drag chọn text","Đang kéo","TRUE","FALSE","Phụ thuộc Flutter SelectionArea; onSelectionChanged remap range/source range.","","Thay/extend selection"
"G087","Tablet","Stylus","Stylus drag chọn text","Đang kéo","FALSE","TRUE","Phụ thuộc Flutter SelectionArea trên projection hiện tại.","","Stream khi stylus drag"
"G088","Tablet","Stylus","Stylus drag chọn text","Đang kéo","TRUE","TRUE","Không có stylus-specific pointer tracking; phụ thuộc Flutter SelectionArea. Scroll/reflow có source range sẽ lock theo cơ chế viewport mutation.","","Cần lock range ổn định"
"G089","Tablet","Stylus","Stylus long press","Bắt đầu gesture","FALSE","FALSE","Không custom stylus long press.","","Tương tự touch long press"
"G090","Tablet","Stylus","Stylus long press","Bắt đầu gesture","TRUE","FALSE","Phụ thuộc Flutter long press; selection mới cập nhật cache nếu có SelectedContent.","","Selection cũ tồn tại"
"G091","Tablet","Stylus","Stylus long press","Bắt đầu gesture","FALSE","TRUE","Phụ thuộc Flutter trên layout hiện tại; code map kết quả sang projection hiện tại.","","Stream reflow"
"G092","Tablet","Stylus","Stylus long press","Bắt đầu gesture","TRUE","TRUE","Phụ thuộc Flutter. Không có defer theo stylus pointer; nếu có viewport mutation và source range thì lock ngay.","","Long press khi có selection lock"
"G093","Tablet","Stylus","Stylus pan scroll","Đang scroll","FALSE","FALSE","Scroll mặc định của ScrollView; không có selection logic.","","Baseline pan"
"G094","Tablet","Stylus","Stylus pan scroll","Đang scroll","TRUE","FALSE","Khi scroll offset đổi và có source range, selection được lock để tránh native selection bám theo viewport; copy vẫn dùng cached source/plain range.","","Selection offscreen"
"G095","Tablet","Stylus","Stylus pan scroll","Đang scroll","FALSE","TRUE","Không có source range nên selection layer không làm gì; stream và scroll chạy theo ScrollView/renderer mặc định.","","Pan + stream"
"G096","Tablet","Stylus","Stylus pan scroll","Đang scroll","TRUE","TRUE","Khi scroll offset đổi và có source range, selection được lock: native SelectableRegion visual bị clear, fallback highlight theo source/plain range được bật nếu vùng đó còn render, copy vẫn dùng absolute source range trên projection hiện tại.","","Absolute range phải giữ nguyên"
